시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 01:38,14.5,1161,56.5,2523,42.04,96.89,228,31234,56,13.41
8/28/2017 01:39,13.57,1126,54.66,2166,36.09,109,280,40708,47.59,12.66
8/28/2017 01:40,15.25,1492,74.16,2477,41.28,133,268,33110,77,13.97
8/28/2017 01:41,14.33,1231,60.33,2416,40.26,123,305,31125,50.4,13.66
8/28/2017 01:42,15.23,1085,53,2410,40.15,117,327,47464,52.59,14.48
8/28/2017 01:43,16.35,992,47.41,2518,41.96,124,356,37537,48.4,15.47
8/28/2017 01:44,15.65,1133,55.33,2619,43.65,88.28,319,34999,61.59,14.74
8/28/2017 01:45,14.97,984,49.16,2586,43.09,90.84,310,45408,53,13.89
8/28/2017 01:46,14.62,1007,48.91,2494,41.56,112,276,32600,57.79,13.9
8/28/2017 01:47,14.75,1324,68,2488,41.46,111,273,33576,50,13.8
8/28/2017 01:48,12.94,1212,60,2134,35.56,82.72,251,41450,43.4,12.02
8/28/2017 01:49,12.29,1050,51.08,2209,36.81,87.17,214,25987,48.2,11.47
8/28/2017 01:50,14.25,1395,71.58,2353,39.21,86.08,272,31604,59.4,12.89
8/28/2017 01:51,18.36,1076,53,3235,53.91,84.77,289,51723,69,17.62
8/28/2017 01:52,15.79,909,43.46,2712,45.2,91.74,223,30580,56,14.74
8/28/2017 01:53,14.54,1082,53.16,2581,43.01,101,198,30415,57,13.25
8/28/2017 01:54,14.57,1243,61.66,2448,40.79,87.9,244,43540,54.79,13.33
8/28/2017 01:55,12.85,885,42.23,2091,34.84,116,226,27501,43.4,12.05
8/28/2017 01:56,13.08,844,40.72,2065,34.4,80.06,241,29353,45.4,12.02
8/28/2017 01:57,12.59,1339,69.06,2103,35.04,101,235,39835,48.79,11.42
8/28/2017 01:58,12.56,1157,58.33,2140,35.65,96.33,256,28798,43,11.87
8/28/2017 01:59,11.08,1071,52.46,1902,31.7,79.55,202,22987,41.2,10.47
8/28/2017 02:00,13.45,1320,67.93,2039,33.97,108,243,41501,52,12.34
8/28/2017 02:01,13.16,1235,61.43,2123,35.38,110,284,30604,47,12.12
8/28/2017 02:02,12.07,1203,59.86,1967,32.78,88.56,249,25997,40.2,11.46
8/28/2017 02:03,10.86,989,49.93,1832,30.53,78.26,202,35359,40.59,10.03
